broken_name,occurrences,sample_sources
真题-电化学-001,2,00-首页/活跃任务/任务卡-真题库首批扩充-P1-6.md; 09-审计报告/历史任务卡/任务卡-真题库首批扩充-P1-6.md
真题-电化学-002,2,00-首页/活跃任务/任务卡-真题库首批扩充-P1-6.md; 09-审计报告/历史任务卡/任务卡-真题库首批扩充-P1-6.md
真题-滴定-001,2,00-首页/活跃任务/任务卡-真题库首批扩充-P1-6.md; 09-审计报告/历史任务卡/任务卡-真题库首批扩充-P1-6.md
真题-滴定-002,2,00-首页/活跃任务/任务卡-真题库首批扩充-P1-6.md; 09-审计报告/历史任务卡/任务卡-真题库首批扩充-P1-6.md
真题-滴定-003,2,00-首页/活跃任务/任务卡-真题库首批扩充-P1-6.md; 09-审计报告/历史任务卡/任务卡-真题库首批扩充-P1-6.md
真题-误差-001,2,00-首页/活跃任务/任务卡-真题库首批扩充-P1-6.md; 09-审计报告/历史任务卡/任务卡-真题库首批扩充-P1-6.md
真题-相平衡-001,2,00-首页/活跃任务/任务卡-真题库首批扩充-P1-6.md; 09-审计报告/历史任务卡/任务卡-真题库首批扩充-P1-6.md
07-资料提炼/教学逻辑提炼,2,01-考纲导航/决赛要求-金属有机与超分子.md; 备课思路/审计归档/Batch3-SHHS-Vol4-有机学生讲义计划.md
重结晶,2,01-考纲导航/基础要求-实验要求（暂不要求）.md; 04-题库/真题/第39届决赛/理论/题-39决理-8-常见有机化合物提纯分离方法.md
03-知识点/,2,02-数据库/README.md; 04-专题与题型/README.md
01-考纲导航/,2,03-知识点/README.md; 备课思路/README.md
分析化学中的配位滴定,2,03-知识点/化学原理/螯合效应.md; 03-知识点/化学原理/螯合物.md
生物化学中的金属酶,2,03-知识点/化学原理/螯合效应.md; 03-知识点/化学原理/螯合物.md
普化原理-第8章-酸碱平衡,2,03-知识点/化学原理/解离常数.md; 03-知识点/化学原理/酸碱平衡.md
专题-配合物基础,2,03-知识点/化学原理/配合物异构.md; 07-资料提炼/教学逻辑提炼/Zchem 中级无机结构化学/教学逻辑提炼-Zchem-主族元素的结构化学I-第二轮深化.md
碳硼烷,2,03-知识点/无机和结构化学/硼化学.md; 04-题库/真题/第32届决赛/理论/题-032决-3-硼烷化学.md
"07-资料提炼/书籍提炼/提炼-Clayden-第22章-共轭加成和芳香亲核取代.Replace('.md','')",2,03-知识点/有机化学/Michael加成.md; 03-知识点/有机化学/芳香亲核取代.md
不对称催化,2,03-知识点/有机化学/全合成.md; 04-题库/真题/第35届决赛/理论/第二场/题-35决理-2-8-番木鳖碱全合成.md
"07-资料提炼/书籍提炼/提炼-Clayden-第29章-芳杂环1反应.Replace('.md','')",2,03-知识点/有机化学/吡咯.md; 03-知识点/有机化学/呋喃.md
"07-资料提炼/书籍提炼/提炼-Clayden-第28章-逆合成分析.Replace('.md','')",2,03-知识点/有机化学/有机合成.md; 03-知识点/有机化学/逆合成分析.md
"07-资料提炼/书籍提炼/提炼-Clayden-第20章-烯醇和烯醇盐.Replace('.md','')",2,03-知识点/有机化学/烯醇.md; 03-知识点/有机化学/烯醇负离子.md
题-039-24-邻位交叉效应与构象稳定性,2,03-知识点/有机化学/立体电子效应.md; 03-知识点/有机化学/超共轭效应.md
对苯醌,2,03-知识点/有机化学/苯酚.md; 04-题库/真题/第31届初赛/有机化学/题-031-10-1-产物A结构推断.md
04-课件/,2,04-专题与题型/README.md; 备课思路/README.md
04-题库/真题/第39届初赛/无机和结构化学/题-013-雄黄变铁与砒黄变铜/,2,04-专题与题型/专题/专题-元素化学深度与结构推断综合.md; 04-课件/备课大纲/2026-06-08-元素化学深度-冲刺班.md
04-题库/真题/第39届初赛/无机和结构化学/题-015-彩金制备与硒砂作用/,2,04-专题与题型/专题/专题-元素化学深度与结构推断综合.md; 04-课件/备课大纲/2026-06-08-元素化学深度-冲刺班.md
04-题库/真题/第38届初赛/题-038-1-1-灰狼与矿渣推断/,2,04-专题与题型/专题/专题-元素化学深度与结构推断综合.md; 04-课件/备课大纲/2026-06-08-元素化学深度-冲刺班.md
04-题库/真题/第38届初赛/题-038-1-2-炼丹物质推断/,2,04-专题与题型/专题/专题-元素化学深度与结构推断综合.md; 04-课件/备课大纲/2026-06-08-元素化学深度-冲刺班.md
化学动力学初步,2,04-专题与题型/专题/专题-化学热力学.md; 04-课件/新授课/2026-06-03-溶液与相图-基础班.md
晶体场理论与配位场,2,04-专题与题型/专题/专题-配位化学进阶.md; 04-专题与题型/专题/专题-配合物化学.md
配位平衡计算,2,04-专题与题型/专题/专题-配位化学进阶.md; 04-专题与题型/专题/专题-配合物化学.md
07-资料提炼/书籍提炼/提炼-普化原理-第12章-化学键,2,04-专题与题型/题型/题型-Lewis结构式书写.md; 04-专题与题型/题型/题型-分子构型判断.md
题型-立体化学分析,2,04-专题与题型/题型/题型-R-S构型判断.md; 04-专题与题型/题型/题型-位点选择性判断.md
烯醇等价物,2,04-专题与题型/题型/题型-位点选择性判断.md; 04-专题与题型/题型/题型-极性翻转判断.md
专题-离子反应,2,04-专题与题型/题型/题型-离子方程式书写与正误判断.md; 备课思路/审计归档/Batch2-SHHS-Vol1-2-学生讲义计划.md
07-资料提炼/网课资料/学而思 有机化学基础/提炼-学而思有机化学基础-批次B-卤代烃烯烃炔烃与二烯烃,2,04-课件/新授课/2026-06-04-亲核取代与消除反应-提高班.md; 04-课件/第三轮有机转化跟踪总表.md
教学洞察-酸碱理论,2,04-课件/习题课/第一轮化学原理习题课.md; 04-课件/复习课/第一轮化学原理复习.md
05-真题库,2,04-课件/习题课/第三轮有机化学习题课.md; 04-课件/习题课/第三轮结构物化深化习题课.md
教学洞察-元素化学,2,04-课件/习题课/第二轮元素化学习题课.md; 04-课件/复习课/第二轮元素化学复习.md
元素推断综合训练,2,04-课件/备课大纲/2026-06-03-铁钴镍铜锌-提高班.md; 备课思路/教学过程总表-结构化学模块.md
题-037-8-7-1~8-7-6-羧基活化中间体/,2,04-课件/备课大纲/2026-06-08-人名反应系统归类-冲刺班.md; 07-资料提炼/提炼-第37届初赛试题解析.md
03-知识点/化学原理/,2,04-课件/学生讲义/2026-06-23-化学动力学深化.md; 04-课件/学生讲义/2026-06-23-热力学与平衡深化.md
专题-碳族元素,2,04-课件/学生讲义/2026-06-23-碳族与硼族元素.md; 07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第三分册-碳族硼族元素.md
专题-硼族元素,2,04-课件/学生讲义/2026-06-23-碳族与硼族元素.md; 07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第三分册-碳族硼族元素.md
04-课件/学生讲义/2026-06-23-原子结构/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-元素周期表与周期律/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-共价键理论/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-分子结构和性质/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-离子键与离子晶体/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-晶体学基础/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-其他类型晶体/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-金属键与金属晶体/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-气体基础/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-溶液和胶体/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-化学平衡/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-水中的几种平衡/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-电化学基础/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-热力学基础/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/化学动力学-超级充实版（自学完整）/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-配位化合物基础/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-滴定分析/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-分子结构基础/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-晶体结构基础/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-卤族元素/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-氧族与氮族元素/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-碳族与硼族元素/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-碱金属碱土金属与稀有气体/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-钛钒铬锰/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-铁钴镍铜锌/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-银金汞钼钨/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-有机化学基础/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-烷烃烯烃炔烃/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-芳香烃与卤代烃/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-醇醚胺酚/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-醛酮羧酸/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-杂环糖氨基酸/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-亲核取代与消除反应/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-加成反应/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-自由基反应/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-立体化学与区域选择性/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-羰基化学与缩合反应/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-重排反应/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-活性中间体与反应机理基础/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-杂原子与生物高分子/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-容量分析基础与酸碱滴定/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-络合滴定与重量分析/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-氧化还原滴定与沉淀滴定/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-误差处理与分光光度法/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-化学动力学深化/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-热力学与平衡深化/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-配合物结构深化/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-高等有机机理/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-有机立体化学/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-人名反应系统归类/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-配合物与配位化学深化/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-元素化学深度/,2,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-物化综合计算/,2,04-课件/学生讲义/README.md
晶体学基础-超级充实版（课堂填空）,2,04-课件/学生讲义/晶体学与晶体结构-超级充实版（自学完整）.md; 04-课件/学生讲义/晶体学基础-超级充实版（自学完整）.md
键合异构,2,04-课件/学生讲义/第一轮结构化学习题集（精选重组）.md; 06-学生侧材料/第一轮结构化学习题集（精选重组）.md
溶液浓度换算,2,04-课件/新授课/2026-06-03-溶液与相图-基础班.md
克拉佩龙方程,2,04-课件/新授课/2026-06-06-热力学与平衡深化-提高班.md; 07-资料提炼/教学逻辑提炼/Zchem 物理化学 上/教学逻辑提炼-Zchem-化学平衡-第一三轮.md
极弱酸强化,2,04-题库/分析化学/容量分析与酸碱滴定/硼酸甘露醇强化滴定.md
多元酸分步滴定,2,04-题库/分析化学/容量分析与酸碱滴定/题-容量-01-多元酸分步滴定判断.md
酸碱指示剂选择,2,04-题库/分析化学/容量分析与酸碱滴定/题-容量-01-多元酸分步滴定判断.md
计量点pH计算,2,04-题库/分析化学/容量分析与酸碱滴定/题-容量-01-多元酸分步滴定判断.md
双指示剂法,2,04-题库/分析化学/容量分析与酸碱滴定/题-容量-02-混合碱双指示剂法.md
混合碱分析,2,04-题库/分析化学/容量分析与酸碱滴定/题-容量-02-混合碱双指示剂法.md
酸碱滴定计算,2,04-题库/分析化学/容量分析与酸碱滴定/题-容量-02-混合碱双指示剂法.md
硼酸滴定,2,04-题库/分析化学/容量分析与酸碱滴定/题-容量-03-硼酸强化滴定.md
络合滴定强化,2,04-题库/分析化学/容量分析与酸碱滴定/题-容量-03-硼酸强化滴定.md
弱酸强化滴定,2,04-题库/分析化学/容量分析与酸碱滴定/题-容量-03-硼酸强化滴定.md
酸碱滴定误差,2,04-题库/分析化学/容量分析与酸碱滴定/题-容量-04-酸碱滴定终点误差计算.md
掩蔽,2,04-题库/分析化学/氧化还原与沉淀滴定/K2Cr2O7法测铁中H3PO4的作用.md
高锰酸钾滴定,2,04-题库/分析化学/氧化还原与沉淀滴定/题-氧沉-01-KMnO4滴定H2O2.md
过氧化氢测定,2,04-题库/分析化学/氧化还原与沉淀滴定/题-氧沉-01-KMnO4滴定H2O2.md
铜的测定,2,04-题库/分析化学/氧化还原与沉淀滴定/题-氧沉-02-碘量法测定铜合金.md
Mohr法,2,04-题库/分析化学/氧化还原与沉淀滴定/题-氧沉-03-银量法测定氯化物.md
氯化物测定,2,04-题库/分析化学/氧化还原与沉淀滴定/题-氧沉-03-银量法测定氯化物.md
水的硬度,2,04-题库/分析化学/络合滴定与重量分析/题-络重-01-EDTA滴定水的硬度.md
络合滴定应用,2,04-题库/分析化学/络合滴定与重量分析/题-络重-01-EDTA滴定水的硬度.md
返滴定法,2,04-题库/分析化学/络合滴定与重量分析/题-络重-02-返滴定测铝含量.md
铝的测定,2,04-题库/分析化学/络合滴定与重量分析/题-络重-02-返滴定测铝含量.md
EDTA返滴定,2,04-题库/分析化学/络合滴定与重量分析/题-络重-02-返滴定测铝含量.md
EDTA选择性滴定,2,04-题库/分析化学/络合滴定与重量分析/题-络重-03-选择性滴定判断.md
酸度控制,2,04-题库/分析化学/络合滴定与重量分析/题-络重-03-选择性滴定判断.md
络合滴定条件,2,04-题库/分析化学/络合滴定与重量分析/题-络重-03-选择性滴定判断.md
修约规则,2,04-题库/分析化学/误差与数据处理/四舍六入五成双修约规则.md
误差传递,2,04-题库/分析化学/误差与数据处理/题-误差-01-误差传递计算.md
异常值判断,2,04-题库/分析化学/误差与数据处理/题-误差-02-Q检验法判断异常值.md
分子质量,2,04-题库/化学原理/Ch02-气体/02-23.md; 04-题库/化学原理/Ch02-气体/02-25.md
混合气体,2,04-题库/化学原理/Ch02-气体/02-24.md; 04-题库/化学原理/Ch04-溶液/04-23.md
实际气体,2,04-题库/化学原理/Ch02-气体/02-29.md; 07-资料提炼/教学逻辑提炼/Zchem 物理化学 上/教学逻辑提炼-Zchem-化学平衡-第一三轮.md
阿伏伽德罗常数,2,04-题库/化学原理/Ch05-化学热力学/05-23.md; 04-题库/真题/第29届初赛/无机和结构化学/题-029-5-4-晶体密度计算.md
微观状态数,2,04-题库/化学原理/Ch05-化学热力学/05-24.md; 04-题库/化学原理/Ch05-化学热力学/05-25.md
最简公式,2,04-题库/化学原理/Ch08-酸碱平衡/08-30.md; 04-题库/化学原理/Ch08-酸碱平衡/08-32.md
pH控制,2,04-题库/化学原理/Ch09-沉淀溶解平衡/09-26.md; 04-题库/教材习题/无机化学例题与习题/Ch09-沉淀溶解平衡/例题/例9.6-H2S沉淀分离中的pH控制.md
硫化锌,2,04-题库/化学原理/Ch09-沉淀溶解平衡/09-27.md; 04-题库/教材习题/化学竞赛初赛讲义/题-059-初赛讲义-溶液与化学分析-习题9.47.md
电子能量,2,04-题库/化学原理/Ch11-原子结构/11-25.md; 04-题库/教材习题/无机化学例题与习题/Ch05-原子结构和元素周期律/例题/例5.3-Cu失去4s还是3d电子Slater规则.md
半满稳定性,2,04-题库/化学原理/Ch11-原子结构/11-26.md; 04-题库/化学原理/Ch11-原子结构/11-27.md
共价性,2,04-题库/化学原理/Ch13-晶体与晶体结构/13-19.md; 04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/例题/例12.5-简要回答各题.md
光电效应,2,04-题库/教学改编题/无机和结构化学/题-改编-11-原子结构讲义替换题（2026-07-04）.md; 04-题库/教材习题/汇智竞赛题目/题-001-汇智竞赛-原子结构-习题1.md
锂试剂,2,04-题库/教材习题/ABOC/题-049-ABOC-FT1-P2-EX3-34届决赛LiTMP DA三组分.md; 07-资料提炼/书籍提炼/提炼-ABOC-PhaseD-习题拆题清单.md
逆向分析,2,04-题库/教材习题/ABOC/题-076-ABOC-Ch7-7.2.1-1-D-A底物推断（六苯基苯）.md
光谱分析,2,04-题库/教材习题/ABOC/题-180-ABOC-Ch10-10.1-四醋酸铅和丁二酸可以组成强烈的炸药 稍微加热将会放出两分子二.md; 04-题库/教材习题/ABOC/题-181-ABOC-Ch10-10.3-烯烃是双官能团化是烯烃重要的转化方式之一 传统有机化学中 烯.md
键能计算,2,04-题库/教材习题/上海中学竞赛课程/题-007-上海中学-卤族元素-习题7.md; 04-题库/教材习题/无机化学例题与习题/Ch06-分子结构和共价键理论/习题/6.21-6.34-简答与计算题.md
氧化性比较,2,04-题库/教材习题/上海中学竞赛课程/题-008-上海中学-氧族元素-习题1.md; 04-题库/教材习题/无机化学例题与习题/Ch16-氧族元素/习题/填空题16.17-16.29.md
多硫化物,2,04-题库/教材习题/上海中学竞赛课程/题-012-上海中学-氧族元素-习题6.md; 04-题库/真题/第33届决赛/理论/题-33决理-4-石硫合剂的制备与性质.md
KMnO4滴定,2,04-题库/教材习题/上海中学竞赛课程/题-013-上海中学-氧族元素-习题7.md; 04-题库/教材习题/无机化学例题与习题/Ch22-铁系元素和铂系元素/习题/22.56-22.62-推断与计算题.md
自偶电离,2,04-题库/教材习题/上海中学竞赛课程/题-016-上海中学-氮族元素-习题3.md; 04-题库/教材习题/上海中学竞赛课程/题-029-上海中学-碱金属碱土金属-习题2.md
锑的化合物,2,04-题库/教材习题/上海中学竞赛课程/题-019-上海中学-氮族元素-习题6.md; 04-题库/真题/第36届初赛第二场/题-036b-1-4-Sb2O3与氯化亚砜反应方程式.md
铅的化合物,2,04-题库/教材习题/上海中学竞赛课程/题-022-上海中学-氮族元素-习题2.md; 04-题库/教材习题/无机化学例题与习题/Ch14-碳族元素/习题/Ch14-填空题.md
三氟化硼,2,04-题库/教材习题/上海中学竞赛课程/题-023-上海中学-氮族元素-习题3.md; 04-题库/教材习题/无机化学例题与习题/Ch13-硼族元素/例题/Ch13-例13.2-单质硼制备.md
离子取代,2,04-题库/教材习题/上海中学竞赛课程/题-024-上海中学-氮族元素-习题4.md; 04-题库/真题/第36届初赛/题-036-5-4-GR-I化学式推导.md
硅酸盐化学,2,04-题库/教材习题/上海中学竞赛课程/题-024-上海中学-氮族元素-习题4.md; 04-题库/真题/第36届初赛第二场/题-036b-1-5-钾长石与氢氧化钾反应方程式.md
碳酸盐分解,2,04-题库/教材习题/上海中学竞赛课程/题-027-上海中学-氮族元素-习题7.md; 04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/例题/例12.1-完成配平化学反应方程式.md
绿柱石,2,04-题库/教材习题/上海中学竞赛课程/题-031-上海中学-碱金属碱土金属-习题4.md; 04-题库/教材习题/上海中学竞赛课程/题-039-上海中学-过渡金属-习题5.md
V2O5,2,04-题库/教材习题/上海中学竞赛课程/题-037-上海中学-过渡金属-习题3.md; 04-题库/教材习题/上海中学竞赛课程/题-040-上海中学-过渡金属-习题6.md
离子交换,2,04-题库/教材习题/上海中学竞赛课程/题-038-上海中学-过渡金属-习题4.md; 04-题库/真题/第37届初赛/题-037-3-1-2-LiMn2O4酸处理副反应.md
半反应,2,04-题库/教材习题/上海中学竞赛课程/题-042-上海中学-氧化还原反应-习题1.md; 04-题库/真题/第38届初赛/题-038-7-3-1-膜分离反应方程式.md
沸点比较,2,04-题库/教材习题/上海中学竞赛课程/题-046-上海中学-分子结构和性质-习题1.md
六方最密堆积,2,04-题库/教材习题/上海中学竞赛课程/题-048-上海中学-金属键与金属晶体-习题1.md
混合型晶体,2,04-题库/教材习题/上海中学竞赛课程/题-050-上海中学-其他类型晶体-习题1.md
聚沉,2,04-题库/教材习题/上海中学竞赛课程/题-053-上海中学-溶液和胶体-习题1.md
Gibbs自由能与平衡,2,04-题库/教材习题/上海中学竞赛课程/题-055-上海中学-化学平衡-习题1.md
酸碱电离平衡,2,04-题库/教材习题/上海中学竞赛课程/题-058-上海中学-水中平衡-习题1.md
金属间化合物,2,04-题库/教材习题/化学竞赛初赛讲义/题-033-初赛讲义-晶体结构-习题7.25.md
复合硫化物,2,04-题库/教材习题/化学竞赛初赛讲义/题-034-初赛讲义-晶体结构-习题7.31.md
钒化学,2,04-题库/教材习题/化学竞赛初赛讲义/题-038-初赛讲义-推断技术-习题6.33.md; 07-资料提炼/教学逻辑提炼/Zchem 元素化学与结构化学/教学逻辑提炼-Zchem-钛钒铬锰与稀土-第一轮.md
氟化学,2,04-题库/教材习题/化学竞赛初赛讲义/题-038-初赛讲义-推断技术-习题6.33.md; 04-题库/真题/第36届初赛第二场/题-036b-10-3-HFIP氢键供受体数目.md
饱和蒸气压,2,04-题库/教材习题/化学竞赛初赛讲义/题-038-初赛讲义-热力学和动力学初步-习题8.37.md; 04-题库/真题/第27届决赛/理论/题-027决-6-热力学蒸发压缩.md
稀有气体化学,2,04-题库/教材习题/化学竞赛初赛讲义/题-039-初赛讲义-推断技术-习题6.34.md; 04-题库/真题/第36届决赛/理论/第一场/题-36决理-1-1-化学反应方程式.md
锕系元素,2,04-题库/教材习题/化学竞赛初赛讲义/题-040-初赛讲义-热力学和动力学初步-习题8.40.md; 07-资料提炼/书籍提炼/提炼-无机化学第6版-第23章-f区元素化学.md
碘化学,2,04-题库/教材习题/化学竞赛初赛讲义/题-045-初赛讲义-推断技术-习题6.39.md; 04-题库/真题/第36届初赛第二场/题-036b-4-3-空穴传输材料T的化学式.md
燃料电池,2,04-题库/教材习题/化学竞赛初赛讲义/题-045-初赛讲义-热力学和动力学初步-习题8.47.md; 04-题库/真题/第36届决赛/理论/第一场/题-36决理-1-5-氢能源汽车热力学.md
水泥化学,2,04-题库/教材习题/化学竞赛初赛讲义/题-047-初赛讲义-推断技术-习题6.52.md
矿物颜料,2,04-题库/教材习题/化学竞赛初赛讲义/题-048-初赛讲义-推断技术-习题6.55.md
放射化学,2,04-题库/教材习题/化学竞赛初赛讲义/题-050-初赛讲义-热力学和动力学初步-习题8.16.md
超导,2,04-题库/教材习题/化学竞赛初赛讲义/题-051-初赛讲义-晶体结构-习题7.48.md
核化学,2,04-题库/教材习题/化学竞赛初赛讲义/题-052-初赛讲义-热力学和动力学初步-习题8.25.md
年代测定,2,04-题库/教材习题/化学竞赛初赛讲义/题-052-初赛讲义-热力学和动力学初步-习题8.25.md
重量法,2,04-题库/教材习题/化学竞赛初赛讲义/题-055-初赛讲义-溶液与化学分析-习题9.32.md; 04-题库/教材习题/化学竞赛初赛讲义/题-063-初赛讲义-溶液与化学分析-习题9.55.md
多面体,2,04-题库/教材习题/化学竞赛初赛讲义/题-057-初赛讲义-晶体结构-习题7.54.md
SO2,2,04-题库/教材习题/化学竞赛初赛讲义/题-060-初赛讲义-溶液与化学分析-习题9.48.md; 04-题库/教材习题/无机化学例题与习题/Ch06-分子结构和共价键理论/例题/例6.4-VSEPR杂化方式判断.md
合金分析,2,04-题库/教材习题/化学竞赛初赛讲义/题-063-初赛讲义-溶液与化学分析-习题9.55.md; 04-题库/真题/第31届决赛/理论/题-031决-1-合金分析与铜化学.md
库仑分析,2,04-题库/教材习题/化学竞赛初赛讲义/题-063-初赛讲义-溶液与化学分析-习题9.58.md; 04-题库/教材习题/化学竞赛初赛讲义/题-063-初赛讲义-溶液与化学分析-习题9.60.md
配合滴定,2,04-题库/教材习题/化学竞赛初赛讲义/题-063-初赛讲义-溶液与化学分析-习题9.58.md; 04-题库/教材习题/化学竞赛初赛讲义/题-063-初赛讲义-溶液与化学分析-习题9.60.md
二氧化氯,2,04-题库/教材习题/化学竞赛初赛讲义/题-063-初赛讲义-溶液与化学分析-习题9.59.md; 04-题库/教材习题/无机化学例题与习题/Ch17-卤素/例题/例17.6-钠盐推断题.md
稀土永磁体,2,04-题库/教材习题/化学竞赛初赛讲义/题-072-初赛讲义-晶体结构-习题7.23.md
二聚平衡,2,04-题库/教材习题/化学竞赛初赛讲义/题-072-初赛讲义-溶液与化学分析-习题9.45.md
结晶水合物,2,04-题库/教材习题/化学竞赛初赛讲义/题-073-初赛讲义-晶体结构-习题7.28.md
铀化学,2,04-题库/教材习题/化学竞赛初赛讲义/题-073-初赛讲义-溶液与化学分析-习题9.46.md
渗透平衡,2,04-题库/教材习题/化学竞赛初赛讲义/题-074-初赛讲义-溶液与化学分析-习题9.49.md
结合常数,2,04-题库/教材习题/化学竞赛初赛讲义/题-074-初赛讲义-溶液与化学分析-习题9.49.md
磷的测定,2,04-题库/教材习题/化学竞赛初赛讲义/题-075-初赛讲义-溶液与化学分析-习题9.53.md
放射性元素,2,04-题库/教材习题/无机化学例题与习题/Ch05-原子结构和元素周期律/习题/5.11-5.20-选择题.md; 04-题库/真题/第25届初赛/化学原理/题-025-1-1-居里夫人发现元素.md
德布罗意波长,2,04-题库/教材习题/无机化学例题与习题/Ch05-原子结构和元素周期律/习题/5.31-5.35-简答与计算题.md; 04-题库/教材习题/汇智竞赛题目/题-001-汇智竞赛-原子结构-习题1.md
周期表位置,2,04-题库/教材习题/无机化学例题与习题/Ch05-原子结构和元素周期律/习题/5.36-5.38-元素推断题.md; 04-题库/教材习题/无机化学例题与习题/Ch05-原子结构和元素周期律/例题/例5.5-由M2+的3d排布推断M元素.md
第一电离能,2,04-题库/教材习题/无机化学例题与习题/Ch05-原子结构和元素周期律/习题/5.41-5.44-电离能与半径比较.md; 04-题库/真题/第30届初赛/无机和结构化学/题-030-1-2-碱金属性质递变非单调性.md
NO3-,2,04-题库/教材习题/无机化学例题与习题/Ch06-分子结构和共价键理论/例题/例6.2-VSEPR判断分子构型基础.md; 04-题库/教材习题/无机化学例题与习题/Ch06-分子结构和共价键理论/例题/例6.5-离域π键的判断与解释.md
稳定性比较,2,04-题库/教材习题/无机化学例题与习题/Ch06-分子结构和共价键理论/例题/例6.8-O2系列MO排布与稳定性.md; 04-题库/教材习题/无机化学例题与习题/Ch16-氧族元素/习题/填空题16.17-16.29.md
弱酸Ka,2,04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.27-8.30-酸碱中和与Ka计算.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/例题/例8.8-强碱滴定弱酸求Ka.md
缓冲溶液配制,2,04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.31-8.33-缓冲溶液与混合酸.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/例题/例8.5-缓冲溶液配制计算.md
缓冲溶液pH,2,04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.31-8.33-缓冲溶液与混合酸.md; 04-题库/真题/第26届决赛/理论/题-026决-2-EDTA滴定BiPb.md
