broken_name,substring_candidates,occurrences,sample_sources
配体,00-首页/学生讲义Word/media/光谱化学序列配体排序图.关系图.md | 03-知识点/决赛要求/结构与配位深化/NO配体与亚硝酰配合物.md | 03-知识点/决赛要求/结构与配位深化/配体类型与电子给受性质.md | 03-知识点/化学原理/晶体场理论.md | 03-知识点/化学原理/螯合物.md | 03-知识点/无机和结构化学/桥连配体.md,5,00-首页/工作日志/2026-06-01.md; 03-知识点/决赛要求/结构与配位深化/配体类型与电子给受性质.md; 07-资料提炼/教学逻辑提炼/无机化学-周坤-2020/教学逻辑提炼-周坤无机新课-晶体配合物与气体-第一轮.md
配位化合物基础,03-知识点/化学原理/配合物.md | 03-知识点/无机和结构化学/配位化合物.md | 04-课件/学生讲义/2026-06-23-配位化合物基础.md | 04-课件/学生讲义/配位化合物基础-第一轮基础版（普化原理）.md | 04-课件/学生讲义/配位化合物基础-超级充实版（自学完整）.md | 04-题库/教学改编题/无机和结构化学/题-改编-配位化合物基础-第一轮练习题组.md,5,00-首页/工作日志/2026-06-24.md; mineru/03-教材书籍/无机化学第6版Weller/index.md; 备课思路/教学过程总表-结构化学模块.md
04-课件/学生讲义/原子结构-超级充实版（课堂填空）,03-知识点/化学原理/原子结构.md | 07-资料提炼/书籍提炼/提炼-普化原理-第11章-原子结构.md,5,00-首页/活跃任务/任务卡-PPT制作方法探究与试点.md; 00-首页/活跃任务/任务卡-习题配套建设.md; 00-首页/活跃任务/任务卡-备课体系深度优化与审计.md
提炼-分析化学第六版-第8章-酸碱滴定法,03-知识点/分析化学/酸碱滴定.md | 03-知识点/化学原理/滴定分析基本原理.md | 04-题库/真题/第29届初赛/分析化学/题-029-4-2-硫酸亚铁铵滴定方程式.md,5,03-知识点/分析化学/指示剂.md; 03-知识点/分析化学/滴定曲线.md; 03-知识点/分析化学/酸碱滴定.md
化学平衡常数,03-知识点/化学原理/化学平衡.md | 03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届决赛/理论/题-025决-3-恒压反应器化学平衡.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第28届初赛/化学原理/题-028-6-1-肌红蛋白氧结合平衡常数.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md,5,04-题库/化学原理/Ch06-化学平衡/06-30.md; 04-题库/化学原理/Ch06-化学平衡/06-31.md; 04-题库/教材习题/上海中学竞赛课程/题-055-上海中学-化学平衡-习题1.md
离子分离,04-题库/教材习题/无机化学例题与习题/Ch14-碳族元素/例题/Ch14-例14.7-离子分离.md,5,04-题库/化学原理/Ch09-沉淀溶解平衡/09-26.md; 04-题库/教材习题/无机化学例题与习题/Ch15-氮族元素/习题/分离鉴别制备15.55-15.61.md; 04-题库/教材习题/无机化学例题与习题/Ch16-氧族元素/习题/分离鉴别制备16.51-16.57.md
06-外部资料导入/...,06-外部资料导入/外部资料导入.md,5,04-题库/教学改编题/无机和结构化学/错误模式知识库.md; 98-索引/exercise-build-workflow.md; 98-索引/handout-image-standards.md
共轭二烯,03-知识点/有机化学/共轭体系电子计数.md | 03-知识点/有机化学/共轭效应.md | 04-题库/有机化学/加成反应/题-有机-加成-共轭二烯12与14加成.md | 04-题库/有机化学/加成反应/题-有机-加成-共轭二烯12与14加成选择性.md,5,04-题库/教材习题/ABOC/题-076-ABOC-Ch7-7.2.1-1-D-A底物推断（六苯基苯）.md; 04-题库/有机化学/加成反应/题-有机-加成-共轭二烯12与14加成.md; 04-题库/有机化学/加成反应/题-有机-加成-共轭二烯12与14加成选择性.md
电动势,03-知识点/决赛要求/物理化学深化/电池电动势.md | 04-专题与题型/题型/题型-电池电动势计算.md | 04-题库/教材习题/无机化学例题与习题/Ch10-氧化还原反应/例题/例10.1-电池符号表示与电动势计算.md | 04-题库/教材习题/无机化学例题与习题/Ch10-氧化还原反应/例题/例10.3-浓差电池电动势之比.md | 04-题库/教材习题/无机化学例题与习题/Ch10-氧化还原反应/例题/例10.8-元素电势图与电动势吉布斯自由能.md | 04-题库/真题/第36届初赛/题-036-6-1-非水溶剂电池电动势计算.md,5,04-题库/教材习题/化学竞赛初赛讲义/题-045-初赛讲义-热力学和动力学初步-习题8.47.md; 04-题库/教材习题/无机化学例题与习题/Ch10-氧化还原反应/习题/10.1-10.12-选择题.md; 04-题库/教材习题/无机化学例题与习题/Ch10-氧化还原反应/例题/例10.10-电势-pH图.md
Henry定律,03-知识点/决赛要求/物理化学深化/Raoult与Henry定律.md | 03-知识点/无机和结构化学/稀有气体.md,5,04-题库/教材习题/化学竞赛初赛讲义/题-065-初赛讲义-溶液与化学分析-习题9.24.md; 04-题库/教材习题/化学竞赛初赛讲义/题-066-初赛讲义-溶液与化学分析-习题9.27.md; 备课思路/教学过程总表-化学原理收尾模块.md
姜泰勒效应,04-题库/教材习题/无机化学例题与习题/Ch11-配位化学基础/例题/例11.7-姜泰勒效应.md,5,04-题库/教材习题/无机化学例题与习题/Ch11-配位化学基础/例题/例11.7-姜泰勒效应.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-配位化学-第一轮.md
物质鉴别,04-专题与题型/题型/题型-两性物质鉴别.md,5,04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/习题/12.30-12.34-分离鉴别与制备.md; 04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/例题/例12.3-鉴别各组物质.md; 04-题库/教材习题/无机化学例题与习题/Ch15-氮族元素/习题/分离鉴别制备15.55-15.61.md
对称性分析,04-题库/真题/第25届决赛/理论/题-025决-1-2-1-双缩脲Cu配合物结构.md | 04-题库/真题/第30届初赛/无机和结构化学/题-030-4-2-立方晶系判断.md | 04-题库/真题/第33届初赛/无机和结构化学/题-033-6-3-B原子坐标.md,5,04-题库/有机化学/波谱分析/题-有机-波谱-NMR-ReplacementTest信号数判断.md; 04-题库/真题/第26届决赛/理论/题-026决-1-8-Bi6多核离子结构.md; 04-题库/真题/第38届初赛/题-038-5-2-1-SrSb晶胞坐标.md
催化机理,04-题库/教材习题/ABOC/题-078-ABOC-Ch8-8.6-金属催化机理.md | 04-题库/有机化学/活性中间体与反应机理/题-有机-中间体-亚胺正离子催化机理.md | 04-题库/真题/第34届决赛/理论/题-34决理-1-6-2-催化机理研究.md | 07-资料提炼/书籍提炼/提炼-普化原理-第7章-化学反应速率.md,5,04-题库/真题/第26届决赛/理论/题-026决-3-铁卟啉催化动力学.md; 04-题库/真题/第33届决赛/理论/题-33决理-2-催化动力学光度法测定锰.md; 04-题库/真题/第34届决赛/理论/题-34决理-1-6-2-催化机理研究.md
选择性控制,03-知识点/有机化学/非对映选择性.md | 04-题库/真题/第30届初赛/有机化学/题-030-9-1-2-HCl与K2CO3条件产物差异原因.md,5,07-资料提炼/书籍提炼/提炼-ABOC-PhaseD-习题拆题清单.md; 07-资料提炼/书籍提炼/提炼-ABOC-第11章-解题训练.md
等瓣类似,04-课件/新授课/2026-06-22-金属有机电子计数与等瓣类似入门-提高班.md,5,07-资料提炼/书籍提炼/提炼-化学竞赛初赛讲义-第5讲-金属有机化学.md; 备课思路/第三轮总体备课框架.md
类卤素,03-知识点/无机和结构化学/卤素.md,5,07-资料提炼/教学逻辑提炼/Zchem 元素化学与结构化学/教学逻辑提炼-Zchem-卤素-第一轮.md
金属有机试剂,03-知识点/有机化学/Wurtz偶联.md,5,07-资料提炼/教学逻辑提炼/Zchem 有机反应合成与机理/教学逻辑提炼-Zchem-羰基化学深化-第三轮.md
拟卤素,03-知识点/无机和结构化学/卤素.md,5,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-氧族元素-第一轮.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-硫与氮-第一轮.md; 12-教学洞察/教学洞察-氢与卤素.md
KP-晶体结构基础,03-知识点/化学原理/平衡常数.md | 03-知识点/无机和结构化学/晶体与非晶体.md | 03-知识点/无机和结构化学/晶体结构.md | 03-知识点/无机和结构化学/晶体结构基础.md | 04-题库/真题/第25届决赛/理论/题-025决-2-Pb氧化物推断计算.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md,5,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-晶体结构-第一轮.md
KP-离子晶体,03-知识点/化学原理/平衡常数.md | 03-知识点/无机和结构化学/晶体与非晶体.md | 03-知识点/无机和结构化学/离子晶体.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,5,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-晶体结构-第一轮.md
决赛要求-结构与配位化学深化,03-知识点/无机和结构化学/配位化学.md | 04-专题与题型/专题/专题-配位化学.md | 04-题库/真题/第26届初赛/化学原理/题-026-1-1-Zn氨配位现象与方程.md | 04-题库/真题/第30届初赛/有机化学/题-030-7-2-A和D中Rh氧化态及电子数.md | 04-题库/真题/第34届初赛/分析化学/题-034-5-2-2-固相反应方程式.md,5,09-审计报告/2026-07-12-全库逐文件深度审计.md
KP-A,03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,5,11-模板/模板-复习课.md
KP-B,03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,5,11-模板/模板-复习课.md
过渡态理论,03-知识点/决赛要求/物理化学深化/碰撞理论与过渡态理论.md | 03-知识点/有机化学/过渡态.md | 04-题库/真题/第33届初赛/有机化学/题-033-8-4-2-过渡态结构.md,4,00-首页/图片索引.md; 03-知识点/化学原理/同位素效应.md; 04-题库/教材习题/物理化学Atkins/主题17-19-动力学与表面过程-习题.md
KP名,03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,4,00-首页/工作日志/2026-05-14.md; 00-首页/讲义生产SOP与双向映射规范.md
自由基环化,03-知识点/有机化学/自由基.md | 05-真题库/真题-自由基-开环环化-001.md,4,00-首页/工作日志/2026-05-10.md; 04-题库/有机化学/自由基反应/题-有机-自由基-分子内环化与Baldwin规则.md; 05-真题库/真题-自由基-开环环化-001.md
D/L构型,03-知识点/有机化学/立体化学.md,4,00-首页/工作日志/2026-05-18.md; 04-题库/有机化学/有机结构基础与电子效应/题-有机-结构-糖类D-L构型与环状结构.md; 04-题库/有机化学/有机结构基础与电子效应/题-有机-结构-糖类旋光性与变旋光现象.md
酚的亲核性,04-题库/真题/第30届初赛/有机化学/题-030-9-1-2-HCl与K2CO3条件产物差异原因.md,4,00-首页/工作日志/2026-05-22.md; 00-首页/活跃任务/任务卡-竞赛拓展批量填充-P1-5.md; 04-题库/真题/第34届初赛/有机化学/题-034-10-2-亚砜活化反应产物推断.md
04-课件/备课大纲/2026-05-23-氧化还原与电化学-基础班,00-首页/工作日志/2026-05-23.md | 03-知识点/化学原理/电化学.md | 04-题库/化学原理/Ch05-化学热力学/05-23.md | 04-题库/真题/第25届初赛/化学原理/题-025-1-2-Ti红氧化与CuCl沉淀.md | 04-题库/真题/第26届初赛/化学原理/题-026-8-4-UCl3加入pH4缓冲液.md | 04-题库/真题/第27届初赛/无机和结构化学/题-027-3-4-硫脲溶解金离子方程式.md,4,00-首页/工作日志/2026-05-24.md; 00-首页/工作日志/2026-05-27.md
03-知识点/无机和结构化学/配位场理论,03-知识点/化学原理/晶体场理论.md | 03-知识点/知识点.md | 04-题库/教学改编题/无机和结构化学/无机和结构化学.md | 04-题库/真题/第26届初赛/化学原理/题-026-1-1-Zn氨配位现象与方程.md,4,00-首页/工作日志/2026-07-23.md; 09-审计报告/归档首页/模块连接推进-无机和结构化学.md
04-专题与题型/,04-专题与题型/专题与题型.md,4,03-知识点/README.md; 04-课件/备课大纲/2026-06-10-有效数字等2个知识点.md; 04-课件/备课大纲/2026-06-10-理想气体状态方程等4个知识点-v2.md
提炼-分析化学第六版-第1章-定量分析概论,04-题库/真题/第25届初赛/分析化学/题-025-4-3-Co氧化数与氧缺陷计算.md,4,03-知识点/分析化学/基准物质.md; 03-知识点/分析化学/标准溶液.md
题-Ch21-配位反应机理-习题,03-知识点/化学原理/配合反应.md | 03-知识点/有机化学/共轭效应.md | 03-知识点/有机化学/反应机理.md | 04-题库/教材习题/无机化学第6版Weller/Ch21-配位反应机理-习题.md | 04-题库/真题/第26届初赛/化学原理/题-026-1-1-Zn氨配位现象与方程.md | 04-题库/真题/第27届初赛/有机化学/题-027-9-1-同位素标记反应历程.md,4,03-知识点/无机和结构化学/Marcus理论.md; 03-知识点/无机和结构化学/内层电子转移.md; 03-知识点/无机和结构化学/外层电子转移.md
簇合物结构,04-题库/真题/第33届决赛/理论/题-33决理-6-银硫簇合物结构.md,4,03-知识点/无机和结构化学/磷化学.md; 04-题库/化学原理/Ch15-元素化学/15-33.md; 04-题库/真题/第33届初赛/无机和结构化学/题-033-5-3-氧配位类型数目.md
化学计量与气体,00-首页/活跃任务/任务卡-化学计量与气体补备课大纲.md | 03-知识点/化学原理/化学计量.md | 04-专题与题型/专题/专题-化学计量与气体.md | 04-课件/备课大纲/2026-06-09-化学计量与气体-基础班.md | 04-课件/新授课/2026-05-09-化学计量与气体.md | 04-题库/真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md,4,04-专题与题型/专题/专题-化学热力学.md; 04-课件/备课大纲/2026-06-02-定量化学分析-基础班.md; 04-课件/备课大纲/2026-06-02-气体与溶液-基础班.md
07-资料提炼/书籍提炼/提炼-Clayden-第2章-有机结构基础,03-知识点/有机化学/共轭效应.md | 04-题库/真题/第26届初赛/无机和结构化学/题-026-2-1-BCl元素推断.md | 07-资料提炼/书籍提炼/提炼-Clayden-第2章-有机结构.md | 07-资料提炼/资料提炼.md,4,04-专题与题型/题型/题型-R-S构型判断.md; 04-专题与题型/题型/题型-中间体判断.md; 04-专题与题型/题型/题型-供体受体判断.md
误差处理与分光光度法,03-知识点/分析化学/分光光度法.md | 03-知识点/分析化学/误差.md | 04-专题与题型/专题/专题-误差处理与分光光度法.md | 04-课件/备课大纲/2026-06-03-误差处理与分光光度法-提高班.md | 04-课件/学生讲义/2026-06-23-误差处理与分光光度法.md | 04-课件/新授课/2026-06-03-误差处理与分光光度法-提高班.md,4,04-专题与题型/题型/题型-分光光度法计算.md; 04-专题与题型/题型/题型-有效数字.md; 04-专题与题型/题型/题型-误差分析.md
定量化学分析,04-专题与题型/专题/专题-定量化学分析.md | 04-课件/备课大纲/2026-06-02-定量化学分析-基础班.md | 04-课件/新授课/2026-06-02-定量化学分析-基础班.md | 07-资料提炼/教学逻辑提炼/无机化学-周坤-2020/教学逻辑提炼-周坤无机新课-定量化学分析-第一轮.md | 07-资料提炼/网课资料/分析化学/资料提炼-周坤-定量化学分析.md | 07-资料提炼/网课资料/无机化学-新课-周坤-2020-难度适中/学生讲义/15第十章定量化学分析讲义学生版.md,4,04-专题与题型/题型/题型-有效数字.md; 04-专题与题型/题型/题型-误差分析.md; 04-专题与题型/题型/题型-重量分析计算.md
04-课件/学生讲义/2026-06-23-有机波谱分析/,00-首页/工作日志/2026-06-23.md | 03-知识点/有机化学/有机波谱分析.md | 04-课件/学生讲义/2026-06-23-有机波谱分析.md | 04-题库/化学原理/Ch06-化学平衡/06-23.md | 07-资料提炼/书籍提炼/提炼-Clayden-第3章-有机结构的确定.md,4,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-过渡金属催化/,00-首页/工作日志/2026-06-23.md | 03-知识点/无机和结构化学/过渡元素.md | 03-知识点/有机化学/过渡金属催化.md | 04-课件/学生讲义/2026-06-23-过渡金属催化.md | 04-题库/化学原理/Ch06-化学平衡/06-23.md | 07-资料提炼/书籍提炼/提炼-普化原理-第7章-化学反应速率.md,4,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-周环反应/,00-首页/工作日志/2026-06-23.md | 03-知识点/有机化学/Claisen重排.md | 03-知识点/有机化学/协同反应.md | 03-知识点/有机化学/周环反应.md | 04-课件/学生讲义/2026-06-23-周环反应.md | 04-题库/化学原理/Ch06-化学平衡/06-23.md,4,04-课件/学生讲义/README.md
热化学方程式,03-知识点/化学原理/化学方程式.md | 03-知识点/化学原理/方程式书写.md | 04-题库/真题/第31届初赛/无机和结构化学/题-031-3-2-A热解方程式.md | 04-题库/真题/第31届初赛/无机和结构化学/题-031-3-4-B分解方程式.md | 04-题库/真题/第31届初赛/无机和结构化学/题-031-5-2-制备A方程式.md | 04-题库/真题/第31届初赛/无机和结构化学/题-031-5-3-B与浓硫酸反应.md,4,04-题库/化学原理/Ch05-化学热力学/05-28.md; 04-题库/教材习题/上海中学竞赛课程/题-051-上海中学-化学反应能量变化-习题1.md; 12-教学洞察/教学洞察-物化综合计算.md
水的离子积,04-题库/教材习题/无机化学例题与习题/Ch10-氧化还原反应/例题/例10.9-元素电势图与水的离子积.md,4,04-题库/化学原理/Ch08-酸碱平衡/08-25.md; 04-题库/化学原理/Ch08-酸碱平衡/08-26.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.13-8.25-填空题.md
多元弱酸,03-知识点/化学原理/弱酸.md | 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/例题/例8.2-多元弱酸分步解离.md,4,04-题库/化学原理/Ch08-酸碱平衡/08-26.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.1-8.12-选择题.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/例题/例8.2-多元弱酸分步解离.md
Giese反应,03-知识点/化学原理/电离能.md | 03-知识点/无机和结构化学/硒.md,4,04-题库/教材习题/ABOC/题-041-ABOC-FT0-Stream-光化学与自由基反应.md; 07-资料提炼/书籍提炼/提炼-ABOC-PhaseD-习题拆题清单.md; 07-资料提炼/书籍提炼/提炼-ABOC-第11章-解题训练.md
酸催化,03-知识点/有机化学/环氧化反应.md | 04-题库/真题/第32届初赛/有机化学/题-032-10-4-Nazarov产物D.md | 07-资料提炼/书籍提炼/提炼-普化原理-第7章-化学反应速率.md,4,04-题库/教材习题/ABOC/题-066-ABOC-Ch2-2.3-缩醛形成机理.md; 04-题库/真题/第34届决赛/理论/题-34决理-1-9-1-酰胺转化与环化.md; 04-题库/真题/第38届初赛/题-038-6-2-2-氢溴酸作用.md
缺陷,04-题库/真题/第25届初赛/分析化学/题-025-4-3-Co氧化数与氧缺陷计算.md,4,04-题库/教材习题/化学竞赛初赛讲义/题-035-初赛讲义-晶体结构-习题7.32.md; 04-题库/教材习题/化学竞赛初赛讲义/题-036-初赛讲义-晶体结构-习题7.33.md
误差分析,02-考纲条目/基础要求/分析化学/19-误差分析.md | 03-知识点/分析化学/误差.md | 04-专题与题型/题型/题型-误差分析.md | 06-外部资料导入/分析化学/L1误差分析酸碱滴定_笔记.md,4,04-题库/教材习题/化学竞赛初赛讲义/题-055-初赛讲义-溶液与化学分析-习题9.32.md; 04-题库/真题/第31届决赛/理论/题-031决-4-EDTA滴定分析.md; 04-题库/真题/第34届决赛/理论/题-34决理-2-4-2-赖氨酸滴定方法.md
滴定误差,03-知识点/分析化学/误差.md | 04-题库/真题/第29届初赛/分析化学/题-029-4-2-硫酸亚铁铵滴定方程式.md,4,04-题库/教材习题/化学竞赛初赛讲义/题-057-初赛讲义-溶液与化学分析-习题9.34.md; 04-题库/教材习题/化学竞赛初赛讲义/题-058-初赛讲义-溶液与化学分析-习题9.36.md; 04-题库/教材习题/化学竞赛初赛讲义/题-067-初赛讲义-溶液与化学分析-习题9.35.md
沉淀平衡,03-知识点/无机和结构化学/难溶物.md | 04-题库/教材习题/无机化学例题与习题/Ch11-配位化学基础/例题/例11.9-配位平衡与沉淀平衡.md,4,04-题库/教材习题/化学竞赛初赛讲义/题-070-初赛讲义-溶液与化学分析-习题9.40.md; 04-题库/教材习题/无机化学例题与习题/Ch11-配位化学基础/习题/11.25-11.46-简答与计算题.md; 04-题库/教材习题/无机化学例题与习题/Ch11-配位化学基础/例题/例11.9-配位平衡与沉淀平衡.md
盐类水解,03-知识点/有机化学/溶剂解反应.md | 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/例题/例8.6-盐类水解平衡计算.md | 04-题库/真题/第27届决赛/理论/题-027决-9-选择题综合.md | 04-题库/真题/第27届初赛/无机和结构化学/题-027-5-3-反钙钛矿水解方程式.md,4,04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.1-8.12-选择题.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.13-8.25-填空题.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.26-弱酸弱碱pH计算.md
共轭酸碱,03-知识点/化学原理/Brønsted酸碱理论.md | 03-知识点/化学原理/共轭酸碱对.md | 03-知识点/有机化学/共轭效应.md | 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/例题/例8.7-共轭酸碱关系计算.md,4,04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.1-8.12-选择题.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.13-8.25-填空题.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.34-8.36-碱性比较与酸碱质子理论.md
Henderson-Hasselbalch方程,03-知识点/化学原理/缓冲溶液.md | 03-知识点/无机和结构化学/氮族元素.md | 03-知识点/无机和结构化学/砷.md | 03-知识点/无机和结构化学/硒.md | 03-知识点/无机和结构化学/硼族元素.md | 03-知识点/无机和结构化学/碱土金属.md,4,04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/例题/例8.8-强碱滴定弱酸求Ka.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/例题/例8.9-弱酸NaOH混合求Ka.md; 04-题库/真题/第26届决赛/理论/题-026决-2-EDTA滴定BiPb.md
羰基配合物,03-知识点/化学原理/配合物.md | 04-题库/真题/第35届决赛/理论/第一场/题-35决理-1-2-磷的羰基配合物化学.md | 07-资料提炼/书籍提炼/提炼-普化原理-第14章-配位化合物.md,4,04-题库/教材习题/无机化学例题与习题/Ch11-配位化学基础/例题/例11.5-EAN规则.md; 04-题库/真题/第35届决赛/理论/第一场/题-35决理-1-2-磷的羰基配合物化学.md; 07-资料提炼/教学逻辑提炼/Zchem 中级无机结构化学/教学逻辑提炼-Zchem-过渡元素的结构化学-第三轮深化.md
制备,03-知识点/无机和结构化学/单质制备方法.md | 03-知识点/有机化学/Bent规则.md | 03-知识点/有机化学/Gabriel合成.md | 03-知识点/有机化学/胺的化学.md | 03-知识点/有机化学/醇.md | 04-题库/教材习题/ABOC/题-095-ABOC-Ch2-2.5-工业制备 DMSO 当然不会利用这个方法 而是在     m.md,4,04-题库/教材习题/无机化学例题与习题/Ch14-碳族元素/习题/Ch14-制备与鉴别题.md; 04-题库/教材习题/无机化学例题与习题/Ch20-钛副族和钒副族/习题/20.35-20.39-分离鉴别与制备.md; 04-题库/教材习题/无机化学例题与习题/Ch21-铬副族和锰副族/习题/21.50-21.56-分离鉴别与制备.md
鉴别,04-专题与题型/题型/题型-两性物质鉴别.md | 04-专题与题型/题型/题型-实验鉴别.md | 04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/习题/12.30-12.34-分离鉴别与制备.md | 04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/例题/例12.3-鉴别各组物质.md | 04-题库/教材习题/无机化学例题与习题/Ch13-硼族元素/习题/Ch13-制备与鉴别题.md | 04-题库/教材习题/无机化学例题与习题/Ch13-硼族元素/例题/Ch13-例13.3-鉴别物质.md,4,04-题库/教材习题/无机化学例题与习题/Ch14-碳族元素/习题/Ch14-制备与鉴别题.md; 04-题库/教材习题/无机化学例题与习题/Ch20-钛副族和钒副族/习题/20.35-20.39-分离鉴别与制备.md; 04-题库/教材习题/无机化学例题与习题/Ch21-铬副族和锰副族/习题/21.50-21.56-分离鉴别与制备.md
反应活性,04-题库/有机化学/亲核取代与消除反应/题-有机-取代-SN2反应活性排序.md,4,04-题库/有机化学/亲核取代与消除反应/题-有机-取代-SN2反应活性排序.md; 04-题库/真题/第30届决赛/理论/题-030决-7-醇→卤代烃反应.md; 04-题库/真题/第34届决赛/理论/题-34决理-1-3-1-超氧离子分子轨道.md
羟汞化反应,04-题库/真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,4,04-题库/有机化学/加成反应/题-有机-加成-烯烃加成反应立体化学.md; 04-题库/有机化学/加成反应/题-有机-加成-羟汞化脱汞反应区域选择性.md; 04-题库/真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md
酸性比较,04-题库/有机化学/有机结构基础与电子效应/题-有机-结构-碳氢酸性比较与pKa分析.md | 04-题库/真题/第37届初赛/题-037-8-4-α氢酸性比较.md | 04-题库/真题/第38届初赛/题-038-8-1-酸性比较.md | 04-题库/真题/第38届初赛/题-038-8-3-2-化合物3与4酸性比较.md,4,04-题库/有机化学/有机结构基础与电子效应/题-有机-结构-共振与酸性判断冲突分析.md; 04-题库/有机化学/有机结构基础与电子效应/题-有机-结构-碳氢酸性比较与pKa分析.md; 04-题库/真题/第38届初赛/题-038-8-1-酸性比较.md
官能团鉴定,03-知识点/有机化学/官能团.md,4,04-题库/有机化学/波谱分析/题-有机-波谱-IR-3000以上吸收峰判断.md; 04-题库/有机化学/波谱分析/题-有机-波谱-NMR-C4H6O2推结构.md
化学键振动,03-知识点/无机和结构化学/化学键.md | 07-资料提炼/书籍提炼/提炼-Clayden-第4章-分子结构.md | 07-资料提炼/书籍提炼/提炼-普化原理-第12章-化学键与分子结构.md,4,04-题库/有机化学/波谱分析/题-有机-波谱-IR-C与N键波数排序.md; 04-题库/有机化学/波谱分析/题-有机-波谱-IR约化质量与波数关系.md
同位素峰,04-题库/有机化学/波谱分析/题-有机-波谱-MS-含Cl同位素峰强度比.md | 04-题库/有机化学/波谱分析/题-有机-波谱-MS-含双Cl同位素峰强度比.md,4,04-题库/有机化学/波谱分析/题-有机-波谱-MS-含Cl同位素峰强度比.md; 04-题库/有机化学/波谱分析/题-有机-波谱-MS-含双Cl同位素峰强度比.md
可逆反应,03-知识点/化学原理/化学平衡.md,4,04-题库/有机化学/活性中间体与反应机理/题-有机-中间体-动力学与热力学产物预测.md; 04-题库/真题/第38届初赛/题-038-9-2-1-三乙基苯产率变化.md; 04-题库/真题/第38届初赛/题-038-9-2-2-产率变化原因.md
碳负离子稳定性,03-知识点/有机化学/碳负离子.md,4,04-题库/有机化学/活性中间体与反应机理/题-有机-中间体-碳正离子碳负离子自由基稳定性比较.md; 04-题库/真题/第38届初赛/题-038-8-3-1-化合物3酸性解释.md; 04-题库/真题/第38届初赛/题-038-8-3-2-化合物3与4酸性比较.md
