"Front","Back","Tags","Deck","Source","ReviewCycle","NoteType","Extra"
"元素分析 有哪些常见易错点？","• 燃烧法中氧的来源混淆：产物中的氧来自样品和氧气两者，不能直接用产物氧的量计算样品中的氧• 忽略氮的氧化产物：若用燃烧法测氮，氮会生成氮氧化物，需用还原剂还原为 \mathrm{N_2}• 水的吸收不完全：若吸收剂失效或水量过大，会导致氢含量测定偏低• 分子量测定误差大：若分子量测定不准，会导致分子式推断错误","分析化学 仪器分析 元素分析 rc_30d 化竞","Chem::Core","[[元素分析]]","30d","易错点卡","元素分析（elemental analysis）是指通过化学或物理方法测定化合物中各元素的质量分数或原子比的实验技术。"
"什么是准确度？","准确度（accuracy）表示测量值 x 与真值 x_{\mathrm{T}} 的接近程度，由系统误差决定，用误差衡量。","分析化学 误差与数据处理 准确度 rc_30d 化竞","Chem::Core","[[准确度]]","30d","概念卡","关键结论：
准确度与精密度的关系

用打靶类比（四人同时测定铁矿石中 \mathrm{Fe_2O_3} 含量，真值 50.36\%）：

 |  人员  |  精密度  |  准确度  |  评价  | 
 | ------ | :---: | :---: | ------ | 
 |  甲  |  高  |  高  |  结果可靠  | 
 |  乙  |  高  |  低  |  有系统误差  | 
 |  丙  |  低  |  低  |  完全不可靠  | 
 |  丁  |  低  |  平均值巧合接近真值  |  不可靠，纯属巧合  | 

核心关系：
• 精密度高 \neq 准确度高（可能存在系统误差使所有数据都偏离同一方向）
• 准确度高 \Rightarrow 精密度必然高（精密是准确的前提）
• 精密度低时，讨论准确度无意义
• 在确认消除系统误差后，可用精密度表达准确度

系统误差的校正方法

 |  方法  |  说明  | 
 | ------ | ------ | 
 |  对照试验  |  用标准物质或标准方法对照，检查系统误差  | 
 |  空白试验  |  不加试样做全程操作，扣除试剂/器皿引入的误差  | 
 |  校准仪器  |  对天平、砝码、容量器皿等定期校准  | 
 |  方法校正  |  如用回收率校正分析结果  |"
"准确度 的关键结论有哪些？","准确度与精密度的关系

用打靶类比（四人同时测定铁矿石中 \mathrm{Fe_2O_3} 含量，真值 50.36\%）：

 |  人员  |  精密度  |  准确度  |  评价  | 
 | ------ | :---: | :---: | ------ | 
 |  甲  |  高  |  高  |  结果可靠  | 
 |  乙  |  高  |  低  |  有系统误差  | 
 |  丙  |  低  |  低  |  完全不可靠  | 
 |  丁  |  低  |  平均值巧合接近真值  |  不可靠，纯属巧合  | 

核心关系：
• 精密度高 \neq 准确度高（可能存在系统误差使所有数据都偏离同一方向）
• 准确度高 \Rightarrow 精密度必然高（精密是准确的前提）
• 精密度低时，讨论准确度无意义
• 在确认消除系统误差后，可用精密度表达准确度

系统误差的校正方法

 |  方法  |  说明  | 
 | ------ | ------ | 
 |  对照试验  |  用标准物质或标准方法对照，检查系统误差  | 
 |  空白试验  |  不加试样做全程操作，扣除试剂/器皿引入的误差  | 
 |  校准仪器  |  对天平、砝码、容量器皿等定期校准  | 
 |  方法校正  |  如用回收率校正分析结果  |","分析化学 误差与数据处理 准确度 rc_30d 化竞","Chem::Core","[[准确度]]","30d","总结卡","准确度（accuracy）表示测量值 x 与真值 x_{\mathrm{T}} 的接近程度，由系统误差决定，用误差衡量。"
"准确度 有哪些常见易错点？","• 把""数据重现性好""等同于""准确度高""——可能所有数据都偏高或偏低
• 认为多次测量取平均值可以提高准确度——只能提高精密度（减小随机误差），不能消除系统误差
• 回收率接近 100% 不等于没有系统误差——可能存在互相抵消的误差
• 混淆准确度（accuracy）和精密度（precision）的英文术语","分析化学 误差与数据处理 准确度 rc_30d 化竞","Chem::Core","[[准确度]]","30d","易错点卡","准确度（accuracy）表示测量值 x 与真值 x_{\mathrm{T}} 的接近程度，由系统误差决定，用误差衡量。"
"什么是分光光度法？","吸光光度法（分光光度法）是基于物质对光的选择性吸收而建立的分析方法。利用有色溶液对可见光的吸收进行测定称为比色法（比色分析）；随着分光光度计的发展，光的测量从混合光进展为单波长光，从可见光区扩展到紫外和红外区，比色法发展为吸光光度法。","分析化学 分光光度法 rc_30d 化竞 光谱","Chem::Core","[[分光光度法]]","30d","概念卡","关键结论：
最佳吸光度测量条件

最佳吸光度 A = 0.434（T = 36.8\%）时相对误差最小——这是 2016 年决赛考点。

误差传递推导：

E_\mathrm{r} = \frac{\mathrm{d}T}{T \cdot \ln T}

最小值在 T = e^{-1} \approx 0.368（即 A = 0.434）处取得。

分光光度计五大部件：

 |  部件  |  功能  |  常见类型  | 
 | ------ | ------ | --------- | 
 |  光源  |  提供复合光  |  可见区：钨丝灯（360~800 nm）；紫外区：氘灯  | 
 |  单色器  |  将复合光分解为单色光  |  棱镜（玻璃/石英）或光栅  | 
 |  吸收池  |  盛放试液  |  可见区用玻璃，紫外区用石英，厚度 0.5~5 cm  | 
 |  检测器  |  光电转换  |  光电管（红敏/紫敏）或光电倍增管  | 
 |  数据处理  |  显示/记录 A 或 T  |  检流计、数字显示、计算机采集  | 

参比溶液的作用：消除吸收池壁及溶剂对入射光反射和吸收的误差，并扣除干扰。

定量方法：• 标准曲线法：配制系列标准溶液 → 测 A → 作 A-c 图 → 样品 A 查 c• 示差吸光光度法：以比待测溶液浓度稍低的标准溶液作参比，测定 \Delta A = \kappa b\Delta c，适用于高浓度或低浓度样品• 标准加入法：在样品中加入已知量的标准物质，适用于基体复杂的样品"
"分光光度法 的关键结论有哪些？","最佳吸光度测量条件

最佳吸光度 A = 0.434（T = 36.8\%）时相对误差最小——这是 2016 年决赛考点。

误差传递推导：

E_\mathrm{r} = \frac{\mathrm{d}T}{T \cdot \ln T}

最小值在 T = e^{-1} \approx 0.368（即 A = 0.434）处取得。

分光光度计五大部件：

 |  部件  |  功能  |  常见类型  | 
 | ------ | ------ | --------- | 
 |  光源  |  提供复合光  |  可见区：钨丝灯（360~800 nm）；紫外区：氘灯  | 
 |  单色器  |  将复合光分解为单色光  |  棱镜（玻璃/石英）或光栅  | 
 |  吸收池  |  盛放试液  |  可见区用玻璃，紫外区用石英，厚度 0.5~5 cm  | 
 |  检测器  |  光电转换  |  光电管（红敏/紫敏）或光电倍增管  | 
 |  数据处理  |  显示/记录 A 或 T  |  检流计、数字显示、计算机采集  | 

参比溶液的作用：消除吸收池壁及溶剂对入射光反射和吸收的误差，并扣除干扰。

定量方法：• 标准曲线法：配制系列标准溶液 → 测 A → 作 A-c 图 → 样品 A 查 c• 示差吸光光度法：以比待测溶液浓度稍低的标准溶液作参比，测定 \Delta A = \kappa b\Delta c，适用于高浓度或低浓度样品• 标准加入法：在样品中加入已知量的标准物质，适用于基体复杂的样品","分析化学 分光光度法 rc_30d 化竞 光谱","Chem::Core","[[分光光度法]]","30d","总结卡","吸光光度法（分光光度法）是基于物质对光的选择性吸收而建立的分析方法。利用有色溶液对可见光的吸收进行测定称为比色法（比色分析）；随着分光光度计的发展，光的测量从混合光进展为单波长光，从可见光区扩展到紫外和红外区，比色法发展为吸光光度法。"
"分光光度法 有哪些常见易错点？","• 混淆吸收光谱与标准曲线：吸收光谱是 A-\lambda 曲线，标准曲线是 A-c 曲线• 参比溶液选错导致标准曲线不通过原点• 未控制显色剂用量导致多级配位化合物比例不一致• 忽视酸度对显色反应配比的影响（如磺基水杨酸-Fe^{3+} 在不同 pH 下显不同颜色）","分析化学 分光光度法 rc_30d 化竞 光谱","Chem::Core","[[分光光度法]]","30d","易错点卡","吸光光度法（分光光度法）是基于物质对光的选择性吸收而建立的分析方法。利用有色溶液对可见光的吸收进行测定称为比色法（比色分析）；随着分光光度计的发展，光的测量从混合光进展为单波长光，从可见光区扩展到紫外和红外区，比色法发展为吸光光度法。"
"什么是分布分数？","分布分数（distribution fraction, \delta）表示酸碱平衡体系中某特定存在形态的浓度占总浓度的分数。它描述了不同 pH 条件下各形态的相对含量分布。","分析化学 酸碱平衡 分布分数 rc_30d 化竞 计算","Chem::Core","[[分布分数]]","30d","概念卡","关键结论：
分布分数的核心性质• 归一性：所有形态的分布分数之和为 1，即 \sum \delta_i = 1• pH = pKa 转折点：一元酸在 \mathrm{pH} = \mathrm{p}K_\mathrm{a} 时 \delta = 0.5；多元酸在各 \mathrm{p}K_\mathrm{a} 处相邻两形态的 \delta 相等• 形态优势区：\mathrm{pH} < \mathrm{p}K_\mathrm{a} - 1 时酸式形态占主导；\mathrm{pH} > \mathrm{p}K_\mathrm{a} + 1 时碱式形态占主导"
"分布分数 的关键结论有哪些？","分布分数的核心性质• 归一性：所有形态的分布分数之和为 1，即 \sum \delta_i = 1• pH = pKa 转折点：一元酸在 \mathrm{pH} = \mathrm{p}K_\mathrm{a} 时 \delta = 0.5；多元酸在各 \mathrm{p}K_\mathrm{a} 处相邻两形态的 \delta 相等• 形态优势区：\mathrm{pH} < \mathrm{p}K_\mathrm{a} - 1 时酸式形态占主导；\mathrm{pH} > \mathrm{p}K_\mathrm{a} + 1 时碱式形态占主导","分析化学 酸碱平衡 分布分数 rc_30d 化竞 计算","Chem::Core","[[分布分数]]","30d","总结卡","分布分数（distribution fraction, \delta）表示酸碱平衡体系中某特定存在形态的浓度占总浓度的分数。它描述了不同 pH 条件下各形态的相对含量分布。"
"什么是副反应系数？","副反应系数（side reaction coefficient, \alpha）表示在配位滴定中，由于酸效应、配位效应、共存离子效应等副反应的存在，使参与主反应的有效浓度降低的倍数。所有副反应系数 \alpha \geq 1，取对数后 \lg\alpha \geq 0。","分析化学 配位滴定 副反应系数 rc_30d 化竞 EDTA 计算","Chem::Core","[[副反应系数]]","30d","概念卡","关键结论：
• 副反应系数的本质：\alpha = c_{\text{总}}/c_{\text{游离}}，表示由于副反应存在，使参与主反应的有效浓度降低的倍数。所有副反应系数 \alpha \geqslant 1，\alpha = 1 表示无副反应。• 酸效应系数是 EDTA 滴定的核心限制：\lg\alpha_{\mathrm{Y(H)}} 随 pH 降低急剧增大。\mathrm{pH} \geqslant 12 时 \lg\alpha_{\mathrm{Y(H)}} \approx 0；pH 1.0 时 \lg\alpha_{\mathrm{Y(H)}} = 18.3——这意味着在强酸性条件下，EDTA 的有效浓度仅为总浓度的 10^{-18.3}。• 共存离子效应的计算：\alpha_{\mathrm{Y(N)}} = 1 + K_{\mathrm{NY}}[\mathrm{N}]。当 K_{\mathrm{NY}}[\mathrm{N}] \gg 1 时，\alpha_{\mathrm{Y(N)}} \approx K_{\mathrm{NY}}[\mathrm{N}]。若多种共存离子存在，\alpha_{\mathrm{Y(N)}} = 1 + \sum K_{\mathrm{N}_i\mathrm{Y}}[\mathrm{N}_i]。• 金属离子配位效应：\alpha_{\mathrm{M(L)}} = 1 + \beta_1[\mathrm{L}] + \beta_2[\mathrm{L}]^2 + \cdots。在氨性溶液中滴定 \mathrm{Cu}^{2+}、$\mathrm{"
"副反应系数 的关键结论有哪些？","• 副反应系数的本质：\alpha = c_{\text{总}}/c_{\text{游离}}，表示由于副反应存在，使参与主反应的有效浓度降低的倍数。所有副反应系数 \alpha \geqslant 1，\alpha = 1 表示无副反应。• 酸效应系数是 EDTA 滴定的核心限制：\lg\alpha_{\mathrm{Y(H)}} 随 pH 降低急剧增大。\mathrm{pH} \geqslant 12 时 \lg\alpha_{\mathrm{Y(H)}} \approx 0；pH 1.0 时 \lg\alpha_{\mathrm{Y(H)}} = 18.3——这意味着在强酸性条件下，EDTA 的有效浓度仅为总浓度的 10^{-18.3}。• 共存离子效应的计算：\alpha_{\mathrm{Y(N)}} = 1 + K_{\mathrm{NY}}[\mathrm{N}]。当 K_{\mathrm{NY}}[\mathrm{N}] \gg 1 时，\alpha_{\mathrm{Y(N)}} \approx K_{\mathrm{NY}}[\mathrm{N}]。若多种共存离子存在，\alpha_{\mathrm{Y(N)}} = 1 + \sum K_{\mathrm{N}_i\mathrm{Y}}[\mathrm{N}_i]。• 金属离子配位效应：\alpha_{\mathrm{M(L)}} = 1 + \beta_1[\mathrm{L}] + \beta_2[\mathrm{L}]^2 + \cdots。在氨性溶液中滴定 \mathrm{Cu}^{2+}、$\mathrm{","分析化学 配位滴定 副反应系数 rc_30d 化竞 EDTA 计算","Chem::Core","[[副反应系数]]","30d","总结卡","副反应系数（side reaction coefficient, \alpha）表示在配位滴定中，由于酸效应、配位效应、共存离子效应等副反应的存在，使参与主反应的有效浓度降低的倍数。所有副反应系数 \alpha \geq 1，取对数后 \lg\alpha \geq 0。"
"什么是动态NMR？","动态NMR（Dynamic NMR, DNMR） 是指利用核磁共振技术研究分子内或分子间化学交换过程的方法。通过改变温度（变温NMR），可以观察交换过程从慢交换到快交换的转变，从而测定交换速率常数、活化能等动力学参数。","分析化学 仪器分析 动态NMR rc_30d 化竞 NMR","Chem::Core","[[动态NMR]]","30d","概念卡","关键结论：
• 动态NMR是研究快速化学交换的有力工具，时间尺度覆盖 10^{-1} \sim 10^{9} s⁻¹• 温度是控制交换regime的关键变量——降温冻结交换，升温加速交换• 共合温度处 k \approx 2.22 \Delta\nu——可用于估算速率常数• 快交换时峰位为加权平均：\delta_{obs} = p_A \delta_A + p_B \delta_B• 动态NMR与化学动力学互补——可测定常规动力学方法难以测量的快速过程"
"动态NMR 的关键结论有哪些？","• 动态NMR是研究快速化学交换的有力工具，时间尺度覆盖 10^{-1} \sim 10^{9} s⁻¹• 温度是控制交换regime的关键变量——降温冻结交换，升温加速交换• 共合温度处 k \approx 2.22 \Delta\nu——可用于估算速率常数• 快交换时峰位为加权平均：\delta_{obs} = p_A \delta_A + p_B \delta_B• 动态NMR与化学动力学互补——可测定常规动力学方法难以测量的快速过程","分析化学 仪器分析 动态NMR rc_30d 化竞 NMR","Chem::Core","[[动态NMR]]","30d","总结卡","动态NMR（Dynamic NMR, DNMR） 是指利用核磁共振技术研究分子内或分子间化学交换过程的方法。通过改变温度（变温NMR），可以观察交换过程从慢交换到快交换的转变，从而测定交换速率常数、活化能等动力学参数。"
"动态NMR 有哪些常见易错点？","|  错误  |  原因  |  纠正  |  课堂提问  | 
 | :--- | :--- | :--- | :--- | 
 |  混淆化学位移差与交换速率单位  |  化学位移用 ppm，速率用 s⁻¹  |  必须统一为 Hz 才能比较：\Delta\nu(Hz) = \Delta\delta(ppm) × 谱仪频率(MHz)  |  400 MHz 谱仪上 0.1 ppm 对应多少 Hz？  | 
 |  认为共合时 k = \Delta\nu  |  忽略 \pi/\sqrt{2} 因子  |  正确关系：k_c = \pi\Delta\nu/\sqrt{2} \approx 2.22\Delta\nu  |  共合时交换速率是化学位移差的多少倍？  | 
 |  忽略温度对化学位移本身的影响  |  假设 \Delta\nu 不随温度变化  |  实际上化学位移也随温度略有变化，但通常近似为常数  |  为什么高温时快交换的单峰位置会略有移动？  | 
 |  将动态NMR与NOE混淆  |  两者都涉及弛豫  |  NOE 是空间邻近效应，动态NMR是化学交换效应  |  NOE 增强峰强度，动态NMR改变什么？  |","分析化学 仪器分析 动态NMR rc_30d 化竞 NMR","Chem::Core","[[动态NMR]]","30d","易错点卡","动态NMR（Dynamic NMR, DNMR） 是指利用核磁共振技术研究分子内或分子间化学交换过程的方法。通过改变温度（变温NMR），可以观察交换过程从慢交换到快交换的转变，从而测定交换速率常数、活化能等动力学参数。"
"什么是吸光度？","吸光度 A（Absorbance）:衡量物质对单色光吸收程度的量,定义为入射光强 I_0 与透射光强 I 之比的常用对数:","分析化学 分光光度法 吸光度 rc_30d 化竞 Lambert-Beer","Chem::Core","[[吸光度]]","30d","概念卡","关键结论：
适宜测定的吸光度范围
• 最佳范围:A = 0.2 \sim 0.8
• A < 0.2:测量误差相对大(吸收弱,信号差)
• A > 1.0:仪器线性度变差(透光率太低,光电管 SNR 下降)
• 实际可调整:稀释样品 / 改变光程 / 换试剂

误差与浓度的关系
• 在 Lambert-Beer 定律下,浓度的相对误差:
\frac{\Delta c}{c} = \frac{0.434 \Delta T}{T \lg T}
• 误差最小化条件:T = 36.8\%(A = 0.434)
• 这正是为什么实验中调到 A \approx 0.4 最佳

偏离 Lambert-Beer 定律的原因
• 浓度过高(c > 0.01 mol/L):分子间相互作用、缔合或聚合
• 非单色光:仪器分辨率不足导致 \varepsilon 不准
• 化学因素:水解、解离、错合(如有色配合物的平衡漂移)
• 散射:浑浊液或胶体增加散射,A 增大
• 荧光发射:测量光从样品发出,虚假减小 A"
"吸光度 的关键结论有哪些？","适宜测定的吸光度范围
• 最佳范围:A = 0.2 \sim 0.8
• A < 0.2:测量误差相对大(吸收弱,信号差)
• A > 1.0:仪器线性度变差(透光率太低,光电管 SNR 下降)
• 实际可调整:稀释样品 / 改变光程 / 换试剂

误差与浓度的关系
• 在 Lambert-Beer 定律下,浓度的相对误差:
\frac{\Delta c}{c} = \frac{0.434 \Delta T}{T \lg T}
• 误差最小化条件:T = 36.8\%(A = 0.434)
• 这正是为什么实验中调到 A \approx 0.4 最佳

偏离 Lambert-Beer 定律的原因
• 浓度过高(c > 0.01 mol/L):分子间相互作用、缔合或聚合
• 非单色光:仪器分辨率不足导致 \varepsilon 不准
• 化学因素:水解、解离、错合(如有色配合物的平衡漂移)
• 散射:浑浊液或胶体增加散射,A 增大
• 荧光发射:测量光从样品发出,虚假减小 A","分析化学 分光光度法 吸光度 rc_30d 化竞 Lambert-Beer","Chem::Core","[[吸光度]]","30d","总结卡","吸光度 A（Absorbance）:衡量物质对单色光吸收程度的量,定义为入射光强 I_0 与透射光强 I 之比的常用对数:"
"吸光度 有哪些常见易错点？","• ❌ 错:A 有量纲——无量纲
• ❌ 错:T 用百分数代入公式——必须用小数(0.25 不是 25)
• ❌ 错:任意浓度都适用 Lambert-Beer——浓度过高(c > 0.01 mol/L)偏离
• ❌ 错:A = 0 表示无溶质——A = 0 表示与空白等同(完全透过)
• ❌ 错:摩尔吸光系数 \varepsilon 是常数——是物质对特定波长的特性,随波长变
• ❌ 错:浓度越大测量越准——A > 1 时仪器线性度差,反而精度低
• ❌ 错:同一物质 \varepsilon 与样品体积有关——\varepsilon 只与物质本身和波长有关","分析化学 分光光度法 吸光度 rc_30d 化竞 Lambert-Beer","Chem::Core","[[吸光度]]","30d","易错点卡","吸光度 A（Absorbance）:衡量物质对单色光吸收程度的量,定义为入射光强 I_0 与透射光强 I 之比的常用对数:"
"什么是基准物质？","基准物质（primary standard substance）属于标准物质（reference material, RM）的一种，也称滴定分析标准物质。它是能用于直接配制标准溶液或标定溶液准确浓度的物质。","分析化学 容量分析 基准物质 rc_30d 化竞","Chem::Core","[[基准物质]]","30d","概念卡","关键结论：
注意事项

需注意，有些标识为高纯、超纯和光谱纯的试剂，只是表明某些特定杂质项的含量很低，并不表明其主要成分质量分数在 99.9\% 以上。有时因含有不定组成的水分和气体杂质，或试剂本身组成不固定，使主要成分质量分数达不到要求，故不可随意认定基准物质。

常见基准物质

 |  基准物质  |  化学式  |  主要用途  | 
 | ------ | ------ | ------ | 
 |  邻苯二甲酸氢钾  |  \mathrm{KHC_8H_4O_4}  |  标定碱（NaOH等）  | 
 |  硼砂  |  \mathrm{Na_2B_4O_7\cdot 10H_2O}  |  标定酸（HCl等）  | 
 |  碳酸钠  |  \mathrm{Na_2CO_3}  |  标定酸  | 
 |  草酸  |  \mathrm{H_2C_2O_4\cdot 2H_2O}  |  标定碱或 \mathrm{KMnO_4}  | 
 |  重铬酸钾  |  \mathrm{K_2Cr_2O_7}  |  标定 \mathrm{Na_2S_2O_3}  | 
 |  草酸钠  |  \mathrm{Na_2C_2O_4}  |  标定 \mathrm{KMnO_4}  | 
 |  氯化钠  |  \mathrm{NaCl}  |  标定 \mathrm{AgNO_3}  | 
 |  锌  |  $\mathrm{"
"基准物质 的关键结论有哪些？","注意事项

需注意，有些标识为高纯、超纯和光谱纯的试剂，只是表明某些特定杂质项的含量很低，并不表明其主要成分质量分数在 99.9\% 以上。有时因含有不定组成的水分和气体杂质，或试剂本身组成不固定，使主要成分质量分数达不到要求，故不可随意认定基准物质。

常见基准物质

 |  基准物质  |  化学式  |  主要用途  | 
 | ------ | ------ | ------ | 
 |  邻苯二甲酸氢钾  |  \mathrm{KHC_8H_4O_4}  |  标定碱（NaOH等）  | 
 |  硼砂  |  \mathrm{Na_2B_4O_7\cdot 10H_2O}  |  标定酸（HCl等）  | 
 |  碳酸钠  |  \mathrm{Na_2CO_3}  |  标定酸  | 
 |  草酸  |  \mathrm{H_2C_2O_4\cdot 2H_2O}  |  标定碱或 \mathrm{KMnO_4}  | 
 |  重铬酸钾  |  \mathrm{K_2Cr_2O_7}  |  标定 \mathrm{Na_2S_2O_3}  | 
 |  草酸钠  |  \mathrm{Na_2C_2O_4}  |  标定 \mathrm{KMnO_4}  | 
 |  氯化钠  |  \mathrm{NaCl}  |  标定 \mathrm{AgNO_3}  | 
 |  锌  |  $\mathrm{","分析化学 容量分析 基准物质 rc_30d 化竞","Chem::Core","[[基准物质]]","30d","总结卡","基准物质（primary standard substance）属于标准物质（reference material, RM）的一种，也称滴定分析标准物质。它是能用于直接配制标准溶液或标定溶液准确浓度的物质。"
"基准物质 有哪些常见易错点？","• 误用非基准物质的优级纯试剂直接配制标准溶液——绝大多数优级纯试剂也不能直接配制
• 忽略含结晶水基准物质的保存条件（如硼砂长期放置易风化失去结晶水）
• 称量前未对基准物质进行必要的干燥处理","分析化学 容量分析 基准物质 rc_30d 化竞","Chem::Core","[[基准物质]]","30d","易错点卡","基准物质（primary standard substance）属于标准物质（reference material, RM）的一种，也称滴定分析标准物质。它是能用于直接配制标准溶液或标定溶液准确浓度的物质。"
"什么是数据处理？","数据处理是指运用统计学方法对分析测定所得数据进行整理、检验和表达的科学过程。主要包括：有效数字修约与运算、随机误差的分布规律、置信区间估计、显著性检验和可疑值取舍。","分析化学 误差与数据处理 数据处理 rc_30d 化竞","Chem::Core","[[数据处理]]","30d","概念卡","关键结论：
4.1 显著性检验

（1）t 检验——检验系统误差

单组均值与标准值比较：

t = \frac{ | \bar{x} - \mu | }{s}\sqrt{n}

若 t > t_{\alpha, f}，存在显著性差异（系统误差）。

两组均值比较：（需先通过 F 检验确认 s_1 \approx s_2）

合并标准偏差：

s = \sqrt{\frac{s_1^2(n_1-1) + s_2^2(n_2-1)}{(n_1-1)+(n_2-1)}}

t = \frac{ | \bar{x}_1 - \bar{x}_2 | }{s}\sqrt{\frac{n_1 n_2}{n_1 + n_2}}, \quad f = n_1 + n_2 - 2

（2）F 检验——检验精密度差异

F = \frac{s_{\text{大}}^2}{s_{\text{小}}^2}

F > F_{\text{表}} 时，精密度有显著性差异。双侧检验（只判断有无差异）用置信度 90\%；单侧检验（判断一组是否优于另一组）用置信度 95\%。

两均值比较的标准流程： 先 F 检验比精密度 \to 若无差异，再 t 检验比均值。

4.2 可疑值取舍

 |  方法  |  原理  |  优点  |  缺点  | 
 | ------ | ------ | ------ | ------ | 
 |  4\bar{d} 法  |  偏差 > 4\bar{d} 则舍去  |  简单，无需查表  |  误差大  | 
 |  Q 检验  |  Q = \frac{x_n - x_{n-1}}{x_n - x_1}（或 x_1 端）  |  简便，有统计依据  |  未利用全部数据  | 
 |  格鲁布斯(Grubbs)法  |  T = \frac{x_n - \bar{x}}{s}（或 x_1 端）  |  准确性最好（引入 \bar{x}, s）  |  计算稍繁  | 

三种方法结论不一致时，以 Grubbs 法为准。

常用 Q 值表（n=3\sim 6，置信度 90%）：Q_{0.90} = 0.94, 0.76, 0.64, 0.56

常用 Grubbs T 值表（n=3\sim 6，\alpha = 0.05）：T_{0.05} = 1.15, 1.46, 1.67, 1.82"
"数据处理 的关键结论有哪些？","4.1 显著性检验

（1）t 检验——检验系统误差

单组均值与标准值比较：

t = \frac{ | \bar{x} - \mu | }{s}\sqrt{n}

若 t > t_{\alpha, f}，存在显著性差异（系统误差）。

两组均值比较：（需先通过 F 检验确认 s_1 \approx s_2）

合并标准偏差：

s = \sqrt{\frac{s_1^2(n_1-1) + s_2^2(n_2-1)}{(n_1-1)+(n_2-1)}}

t = \frac{ | \bar{x}_1 - \bar{x}_2 | }{s}\sqrt{\frac{n_1 n_2}{n_1 + n_2}}, \quad f = n_1 + n_2 - 2

（2）F 检验——检验精密度差异

F = \frac{s_{\text{大}}^2}{s_{\text{小}}^2}

F > F_{\text{表}} 时，精密度有显著性差异。双侧检验（只判断有无差异）用置信度 90\%；单侧检验（判断一组是否优于另一组）用置信度 95\%。

两均值比较的标准流程： 先 F 检验比精密度 \to 若无差异，再 t 检验比均值。

4.2 可疑值取舍

 |  方法  |  原理  |  优点  |  缺点  | 
 | ------ | ------ | ------ | ------ | 
 |  4\bar{d} 法  |  偏差 > 4\bar{d} 则舍去  |  简单，无需查表  |  误差大  | 
 |  Q 检验  |  Q = \frac{x_n - x_{n-1}}{x_n - x_1}（或 x_1 端）  |  简便，有统计依据  |  未利用全部数据  | 
 |  格鲁布斯(Grubbs)法  |  T = \frac{x_n - \bar{x}}{s}（或 x_1 端）  |  准确性最好（引入 \bar{x}, s）  |  计算稍繁  | 

三种方法结论不一致时，以 Grubbs 法为准。

常用 Q 值表（n=3\sim 6，置信度 90%）：Q_{0.90} = 0.94, 0.76, 0.64, 0.56

常用 Grubbs T 值表（n=3\sim 6，\alpha = 0.05）：T_{0.05} = 1.15, 1.46, 1.67, 1.82","分析化学 误差与数据处理 数据处理 rc_30d 化竞","Chem::Core","[[数据处理]]","30d","总结卡","数据处理是指运用统计学方法对分析测定所得数据进行整理、检验和表达的科学过程。主要包括：有效数字修约与运算、随机误差的分布规律、置信区间估计、显著性检验和可疑值取舍。"
"数据处理 有哪些常见易错点？","• ""四舍六入五成双""中，5 后面有非零数字时无论奇偶一律进位
• 有效数字修约只能一次到位，不能分步修约
• pH = 10.28 的有效数字是两位（只看小数部分 0.28）
• 置信区间 \mu = \bar{x} \pm t \cdot s/\sqrt{n}，分母是 \sqrt{n} 不是 n
• 两组均值 t 检验前必须先做 F 检验
• Grubbs 法需要先算出包含可疑值的 \bar{x} 和 s
• 4\bar{d} 法结论不可靠时，以 Grubbs 法为准","分析化学 误差与数据处理 数据处理 rc_30d 化竞","Chem::Core","[[数据处理]]","30d","易错点卡","数据处理是指运用统计学方法对分析测定所得数据进行整理、检验和表达的科学过程。主要包括：有效数字修约与运算、随机误差的分布规律、置信区间估计、显著性检验和可疑值取舍。"
